Sample_ID,Sample_Collection_Date,Site_name,Lat,Lon,Sample_type,d17O,d17O_unc,d18O,d18O_unc,dD,dD_unc,D17O,D17O_unc,D17O_unc_t,d_exc,d_exc_unc,Data_source,MinElevation,MeanElevation,MaxElevation,MinSlope,MeanSlope,MaxSlope,MeanAspect
BW-23-92,8/12/2023,Home Canyon Creek,42.3347004,-111.2235062,River_or_stream,-9.159,0.02,-17.277,0.032,-129.182,0.264,30.252,5.461,6.027041857,9.034,0.367739038,Project,1909.1473,1909.1473,1909.1473,2.0965796,2.0965796,2.0965796,9.5052423
2014BL-005W,6/2/2014,Bear Lake,42.07,111.26,Lake,-5.241216642,0.2,-9.918484149,0.4,,,8,,9,,,Passey_and_Ji,,,,,,,
2014BL-008W,6/2/2014,Bear Lake,41.89,111.29,Lake,-5.232263773,0.5,-9.898682321,1,,,7,,11,,,Passey_and_Ji,,,,,,,
2014BL-009W,6/2/2014,Bear Lake,41.86,111.36,Lake,-4.902941152,0.5,-9.301471185,0.9,,,19,,16,,,Passey_and_Ji,,,,,,,
2014BL-001W,6/2/2014,Outlet Canal,42.3,111.36,Outlet,-8.348952287,0.3,-15.78508872,0.7,,,16,,13,,,Passey_and_Ji,,,,,,,
2014BL-002W,6/2/2014,Inlet Canal,42.22,111.3,Inlet,-9.703613148,0.3,-18.38293416,0.7,,,46,,13,,,Passey_and_Ji,,,,,,,
2014BL-003W,6/2/2014,Inlet water (Mud Lake),42.13,111.26,Inlet,-9.997687502,0.3,-18.93052369,0.7,,,44,,13,,,Passey_and_Ji,,,,,,,
USU,12/1/2023,USU,41.781443,-111.811808,Precipitation,-9.958,0.035,-18.861,0.034,-139.579,0.436,39.029,13.768,15.19556857,11.309,0.513887147,RAPID,,,,,,,
USU,1/1/2024,USU,41.781443,-111.811808,Precipitation,-8.928,0.032,-16.902,0.029,-125.668,0.396,32.242,9,9.933045523,9.548,0.458955336,RAPID,,,,,,,
USU,2/3/2024,USU,41.781443,-111.811808,Precipitation,-10.183,0.038,-19.311,0.033,-145.122,0.346,75.986,3.257,3.594965442,9.366,0.435214889,RAPID,,,,,,,
UVU,9/1/2023,UVU,40.277779,-111.71389,Precipitation,-5.514,0.033,-10.425,0.023,-73.221,0.224,15.687,9.779,10.79286661,10.179,0.289882735,RAPID,,,,,,,
UVU,10/1/2023,UVU,40.277779,-111.71389,Precipitation,-3.557,0.028,-6.769,0.039,-43.793,0.278,-0.482,1.902,2.099566481,10.359,0.417885152,RAPID,,,,,,,
UVU,11/1/2023,UVU,40.277779,-111.71389,Precipitation,-7.134,0.03,-13.525,0.033,-94.871,0.199,28.677,10.254,11.31753664,13.329,0.330600968,RAPID,,,,,,,
UVU,12/1/2023,UVU,40.277779,-111.71389,Precipitation,-7.628,0.031,-14.479,0.037,-106.515,0.221,51.427,9.054,9.99305094,9.317,0.369400866,RAPID,,,,,,,
UVU,1/1/2024,UVU,40.277779,-111.71389,Precipitation,-9.654,0.023,-18.277,0.036,-138.448,0.302,38.576,4.926,5.436816512,7.768,0.417310436,RAPID,,,,,,,
UVU,2/1/2024,UVU,40.277779,-111.71389,Precipitation,-8.725,0.032,-16.547,0.039,-123.538,0.256,58.243,5.783,6.382344809,8.838,0.403583944,RAPID,,,,,,,
UVU,4/1/2024,UVU,40.277779,-111.71389,Precipitation,-5.255,0.039,-10.026,0.031,-67.005,0.167,54.731,14.216,15.69074772,13.203,0.298986622,RAPID,,,,,,,
USU,8/1/2024,USU,41.781443,-111.811808,Precipitation,-3.102,0.04,-5.914,0.038,-37.052,0.095,28.616,15.258,16.8404936,10.26,0.318498038,RAPID,,,,,,,
USU,9/1/2024,USU,41.781443,-111.811808,Precipitation,-2.122,0.038,-4.036,0.035,-32.239,0.085,3.544,17.224,19.01059835,0.049,0.292617498,RAPID,,,,,,,
USU,6/1/2024,USU,41.781443,-111.811808,Precipitation,-6.902,0.031,-13.106,0.031,-99.916,0.167,38.738,10.637,11.7403414,4.932,0.298986622,RAPID,,,,,,,
USU,10/1/2024,USU,41.781443,-111.811808,Precipitation,-5.555,0.022,-10.376,0.038,-72.486,0.104,10.3,15.437,17.03754505,10.522,0.32129737,RAPID,,,,,,,
USU,7/1/2024,USU,41.781443,-111.811808,Precipitation,-4.749,0.021,-9.038,0.025,-78.622,0.103,23.963,32.962,39.18855152,-6.318,0.224964442,RAPID,,,,,,,
USU,3/1/2024,USU,41.781443,-111.811808,Precipitation,-8.463,0.029,-16.029,0.032,-115.746,0.17,39.039,6.388,7.050545886,12.486,0.307304409,RAPID,,,,,,,
USU,5/1/2024,USU,41.781443,-111.811808,Precipitation,-5.724,0.026,-10.904,0.034,-77.587,0.107,57.129,1.936,2.13674093,9.645,0.29228924,RAPID,,,,,,,
USU,11/4/2024,USU,41.781443,-111.811808,Precipitation,-8.502,0.051,-16.105,0.048,-114.274,0.154,37.56,17.194,18.97730247,14.566,0.41372938,RAPID,,,,,,,
USU,4/1/2024,USU,41.781443,-111.811808,Precipitation,-8.424,0.03,-15.958,0.041,-116.369,0.157,20.684,7.148,7.889212183,11.295,0.363638557,RAPID,,,,,,,
